id,KPP,INN,reliability,distance,availability
0,193545487,4221800806,3,591,False
1,587445658,5918910098,2,46,True
2,370901246,8527117721,8,163,False
3,814301412,5901042083,10,996,True
4,038645472,5545403960,7,13,False
5,426145126,3724364784,2,833,True
6,917945367,0318638839,5,410,True
7,577501887,1251076039,8,369,False
8,035601143,1490627375,5,807,True
9,877744687,0983144969,3,560,False
10,078143721,8139327341,1,284,False
11,806801938,7799167029,6,471,False
12,735301945,7315400358,2,11,True
13,743243128,7424870868,4,792,False
14,585044545,6653520077,3,803,True
15,028801183,3490022165,3,878,False
16,657901841,2061521565,9,528,True
17,357644861,2497661360,1,172,False
18,320301079,0740687628,5,196,True
19,874045220,2498535456,1,171,False
20,498444369,6059932290,10,239,True
21,063045581,7539937950,6,88,True
22,092343308,6541250746,6,281,False
23,750643055,8514948662,6,658,True
24,743244824,5490723333,6,613,False
25,901945917,8064611480,2,840,True
26,421401767,3589050845,3,336,True
27,530701733,5288840201,9,86,False
28,683444083,1352192144,6,128,False
29,053343735,6667232600,9,221,False
30,815901092,8015890128,6,7,False
31,070243381,2041175934,8,490,False
32,222043602,4185424350,1,498,False
33,269543459,8358915272,9,957,True
34,827601768,8784060162,5,74,False
35,038443362,5114094844,2,127,False
36,635244676,2275624039,1,23,False
37,440943761,4194077712,8,33,True
38,907944228,5280129099,10,252,True
39,147901858,5420938600,8,249,True
40,708445319,8957229723,1,868,True
41,786344137,2795618144,7,322,True
42,658201452,1182210280,3,492,True
43,708745714,2911884157,2,621,True
44,416043988,5348809544,5,956,False
45,927144097,1721491526,8,334,True
46,103843164,7238746285,2,838,True
47,855145160,7318043400,8,42,False
48,789501345,1358969469,8,480,False
49,533945900,0773830168,9,916,False
50,048344557,0784947489,3,804,True
51,690701210,7793553300,3,354,True
52,756301783,8939274730,6,209,True
53,408145235,1791673431,8,373,True
54,648045453,0581763920,2,984,False
55,359745069,9219715479,4,175,False
56,486043387,5210969792,1,377,True
57,338101806,0933725710,1,90,True
58,332401275,2907008220,3,395,True
59,905343838,6175153810,5,81,False
60,249044249,5499095154,9,872,True
61,697043297,5745597303,10,477,True
62,473601957,6463778078,3,336,True
63,209145352,7420813308,6,965,False
64,627045132,2552706960,8,707,True
65,721801820,2735470920,2,603,True
66,388101651,4494536597,6,147,True
67,659901487,8183771972,6,969,True
68,668245723,6375073752,6,222,True
69,873243076,0856790215,8,149,True
70,165643047,8090729914,8,678,True
71,144044460,7515226019,4,624,True
72,822844862,2186962879,1,619,True
73,392343623,5708464954,2,509,True
74,909044085,8436248653,2,803,True
75,843845592,8445058722,2,49,True
76,380401492,6174475204,7,380,False
77,389545876,3752626262,7,194,False
78,519001010,8648886295,5,605,True
79,114543045,5364464311,8,154,False
80,378044991,2135685793,10,343,True
81,878101763,5810048240,6,897,False
82,788801230,4146208820,6,508,True
83,618701975,4920506405,8,515,True
84,635343537,2397973005,8,566,True
85,470944385,4636357412,5,509,False
86,671444878,0506523397,7,227,False
87,464645595,0834044781,6,226,False
88,558843948,1469153122,7,152,True
89,869244554,7818318519,10,428,False
90,578645939,0196471756,1,604,True
91,085401481,8787711461,10,196,True
92,777043651,3557773552,6,410,True
93,205144012,0708212411,4,315,True
94,837143354,4826520040,1,290,True
95,696743390,2930197632,3,805,True
96,864843294,7559067768,3,427,True
97,405543036,3256802320,9,210,False
98,917444429,1702553350,6,775,False
99,894601581,5078423882,10,8,False
100,764944074,5082532404,2,37,False
101,344243144,1520449475,1,853,True
102,601745915,0806224535,1,364,False
103,509545134,3184877299,8,72,False
104,325101569,5089632743,3,446,True
105,699444784,3830122265,2,229,True
106,421043869,5739957766,9,414,False
107,718601538,4486863520,7,599,False
108,635744928,3255760941,10,1,False
109,640344213,0771506575,5,96,False
110,784144616,8686487238,5,7,False
111,135145221,5678921760,3,560,False
112,044245896,6470981296,9,842,False
113,381001093,1466528670,1,739,False
