id,favorite_furniture_type,purchase_sum,last_visit_date,birthday,privileges_id,fk_user
0,25,39664,2022-01-16 05:43:14,1986-06-05,0,0
1,18,15095,2022-09-13 05:54:34,1982-10-21,2,1
2,11,31545,2022-06-30 13:47:12,2005-06-21,0,2
3,27,44312,2022-08-07 22:31:53,1997-06-01,2,3
4,32,4090,2022-08-18 05:04:22,1985-12-31,1,4
5,21,24105,2022-02-26 12:26:59,1957-03-08,3,5
6,13,17922,2022-07-12 07:05:04,1961-10-13,3,6
7,35,13927,2022-02-19 23:36:59,1977-07-15,0,7
8,28,32057,2022-09-04 08:32:35,1963-12-12,2,8
9,26,28594,2022-01-14 10:27:12,2004-02-07,0,9
10,18,983,2022-06-19 00:05:57,1953-02-16,2,10
11,27,48715,2022-03-22 15:09:58,1996-11-15,3,11
12,1,7265,2022-04-08 11:34:12,1968-07-20,1,12
13,31,26571,2022-06-21 16:49:42,1973-06-13,0,13
14,20,21238,2022-06-12 09:41:18,1991-07-08,3,14
15,0,14167,2022-07-13 00:15:16,1985-08-15,2,15
16,24,12433,2022-08-15 19:20:23,1993-04-14,0,16
17,20,19463,2022-05-18 03:07:08,1999-02-24,2,17
18,31,29089,2022-07-28 07:16:07,1958-02-16,1,18
19,34,14056,2022-08-24 14:06:23,1983-06-29,0,19
20,8,21883,2022-02-02 10:20:19,1957-01-03,0,20
21,8,25866,2022-06-11 05:39:57,1981-07-19,0,21
22,13,36384,2022-07-15 15:28:24,1999-08-31,1,22
23,5,18724,2022-04-06 15:05:17,1971-11-18,2,23
24,27,46456,2022-07-17 23:23:18,1995-12-10,0,24
25,25,27600,2022-08-15 05:26:03,1980-09-04,0,25
26,25,32802,2022-06-22 16:13:33,1999-01-05,1,26
27,35,28336,2022-01-19 22:03:20,1959-01-12,0,27
28,12,3752,2022-01-01 11:02:41,1974-12-31,1,28
29,5,5822,2022-06-14 01:57:55,1974-08-17,3,29
30,26,44377,2022-09-15 17:11:51,1996-03-23,2,30
31,19,4117,2022-06-06 06:21:04,1957-06-02,0,31
32,19,4344,2022-09-18 17:25:07,1964-06-30,1,32
33,3,1001,2022-06-03 02:16:35,1975-11-06,0,33
34,30,29125,2022-07-08 00:30:06,1993-11-07,0,34
35,14,17438,2022-08-02 14:33:21,1967-07-02,0,35
36,31,3548,2022-02-20 23:48:35,1993-03-25,1,36
37,9,25549,2022-09-18 14:08:10,2005-07-31,3,37
38,21,33226,2022-07-24 23:08:40,1974-04-26,1,38
39,1,42483,2022-06-07 06:07:48,1970-05-10,1,39
40,18,3795,2022-07-12 14:59:35,1991-06-20,2,40
41,17,48804,2022-06-18 18:34:35,1968-02-01,1,41
42,33,11713,2022-08-14 14:13:23,1976-07-08,3,42
43,3,36973,2022-01-04 21:58:54,1996-02-17,2,43
44,32,14144,2022-03-17 18:42:12,1982-06-25,3,44
45,17,19942,2022-01-26 12:09:02,1978-02-16,2,45
46,2,10958,2022-04-10 17:54:52,1956-10-30,0,46
47,21,20500,2022-01-31 21:09:30,1994-04-27,2,47
48,3,26933,2022-01-28 09:00:22,1959-12-09,3,48
49,19,48139,2022-02-04 13:40:08,1985-10-31,1,49
50,22,48334,2022-08-31 06:00:55,2002-03-07,2,50
51,1,29641,2022-05-24 00:37:09,1996-02-20,2,51
52,15,37045,2022-05-15 02:58:42,1986-11-22,2,52
53,0,1809,2022-08-17 01:07:31,1989-08-10,0,53
54,16,11715,2022-03-27 12:44:13,1979-04-05,2,54
55,21,37136,2022-06-04 10:09:30,2002-05-08,1,55
56,9,31650,2022-03-09 08:03:41,1988-06-17,3,56
57,7,5935,2022-01-17 07:15:01,1986-08-15,2,57
58,2,40528,2022-08-25 00:34:51,2001-04-11,2,58
